MSG ID,Message Name,Length,Byte,Bit Start,Data Name,Description,Data Type,Min,Max,Scaled Min,Scaled Max,Map Equation,Units,For Indexing Purposes
,,,6-7,48,HV Output Current,20v output current,u16,0,65535,0,65.535,0.001x,Amps,9
0x00A,ACU Precharge,1,,,,,,,,,,,,10
,,,0,0,Set TS Active,"0: shutdown, 1: go TS Active/Precharge",b,0,1,~,~,~,Bool,10
0x00B,ACU Config Charge Parameters,4,,,,,,,,,,,,11
,,,0-1,0,Charge Voltage,Sets the Target Charging voltage,u16,0,65535,0,6553.5,0.1x,Volts,11
,,,2-3,16,Charge Current,Sets the Target Charging Current,u16,0,65535,0,6553.5,0.1x,Amps,11
0x00C,ACU Config Operational Parameters,2,,,,,,,,,,,,12
,,,0,0,Minimium Cell Voltage,Sets the threshold for Minimum Cell Voltage before Shutdown,u8,0,255,2,4.55,0.01x+2,Volts,12
,,,1,8,Max Cell Temperature,Sets the threshold for Max Cell Temperature before Shutdown,u8,0,255,0,63.75,0.25x,Celsius,12
0x00D,ACU Cell Data 1,64,,,,,,,,,,,,13
,,,0,0,Cell 0 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13
,,,1,8,Cell 0 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13
,,,2,16,Cell 1 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13
,,,3,24,Cell 1 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13
,,,4,32,Cell 2 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13
,,,5,40,Cell 2 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13
,,,6,48,Cell 3 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13
,,,7,56,Cell 3 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13
